path,bytes,classification,recommended_action,rationale
docs/governance/GENAI_TRANSPARENCY.md,4240,REVIEWER_NLNET_CURRENT,KEEP,Current GenAI disclosure
docs/provenance/GENAI_LOG.md,1507,CURRENT_OR_REFERENCE_DOC,KEEP,Current/reference documentation
docs/reviewer/NLNET_REVIEWER_START_HERE.md,10599,REVIEWER_NLNET_CURRENT,KEEP,Canonical NLnet reviewer entry point
docs/reviewer/REPOSITORY_CLEANUP_AUDIT_20260922.md,2608,CURRENT_OR_REFERENCE_DOC,KEEP,Current/reference documentation
docs/reviewer/REPOSITORY_FILE_CLASSIFICATION_20260922.csv,154727,CURRENT_OR_REFERENCE_DOC,KEEP,Current/reference documentation
.github/workflows/nonzero-pr.yml,4285,CI_CONFIG,KEEP,CI/repository configuration
.gitignore,260,ROOT_PROJECT_METADATA,KEEP,Primary project metadata
AOIA_MEMORY_ONTOLOGY.md,4544,CORE_REFERENCE,KEEP,Core project/reference material
AOIA_RUNTIME_MAP.md,4091,CORE_REFERENCE,KEEP,Core project/reference material
AUTHORITY_SCOPE.md,917,CORE_REFERENCE,KEEP,Core project/reference material
CONTRADICTION_SEMANTICS.md,2336,CORE_REFERENCE,KEEP,Core project/reference material
FILESYSTEM_ONTOLOGY_LAYOUT.md,3434,CORE_REFERENCE,KEEP,Core project/reference material
LICENSE,1074,ROOT_PROJECT_METADATA,KEEP,Primary project metadata
MHLM_MHSR/README.md,602,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/README.md,740,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/DEPENDENCY_BOUNDARY_ANALYSIS.md,2230,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/MEMORY_DOMAIN_SPLIT_PLAN.md,1870,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/contracts/RUNTIME_SAFETY_CONTRACTS.md,2030,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/enforcement/ENFORCEMENT_LAYER_DESIGN.md,2524,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/AOIA_Master_Library.pdf,272701,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/MASTER_INDEX.md,4228,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/contradictions/CONTRADICTION_TAXONOMY.md,1889,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
